id,genre
3298542,Music
3298542,Mystery
3298582,Drama
3298594,Action
3298845,Comedy
3298852,Adventure
3298852,Comedy
3298856,Drama
3298856,Fantasy
3298866,Comedy
3298866,Drama
3298983,Comedy
3298983,Horror
3299053,Comedy
3299060,Comedy
3299060,Horror
3299060,Music
3299068,Animation
3299068,Drama
3299068,Family
3299068,Romance
3299072,Drama
3299081,Comedy
3299081,Drama
3299107,Drama
3299124,Comedy
3299124,Drama
3299124,Music
3299124,Romance
3299133,Drama
3299181,Comedy
3299193,Comedy
3299193,Horror
3299193,Thriller
3299219,Family
3299224,Comedy
3299266,Drama
3299266,Romance
3299271,Drama
3299271,Thriller
3299285,Comedy
3299291,Drama
3299291,Fantasy
3299321,Comedy
3299357,Comedy
3299357,Romance
3299403,Comedy
3299403,Romance
3299423,Drama
3299423,Romance
3299429,Adventure
3299429,Comedy
3299429,Drama
3299461,Comedy
3299461,Drama
3299461,Thriller
3299593,Horror
3299793,Drama
3299793,Mystery
3299800,Family
3299851,Drama
3299851,Fantasy
3299861,Drama
3299921,Drama
3299949,Thriller
3299966,Action
3299966,Sci-Fi
3299966,Thriller
3299994,Drama
3300028,Drama
3300153,Crime
3300153,Drama
3300153,Mystery
3300153,Thriller
3300267,Romance
3300278,Comedy
3300278,Family
3300375,Drama
3300375,Romance
3300436,Drama
3300442,Comedy
3300442,Horror
3300507,Horror
3300508,Family
3300531,Horror
3300793,Comedy
3300793,Romance
3300833,Comedy
3300956,Thriller
3300957,Drama
3300961,Action
3300961,Drama
3301029,Biography
3301029,Drama
3301029,Family
3301065,Family
3301085,Comedy
3301183,Action
3301183,Horror
3301183,Thriller
3301271,Action
3301271,Drama
3301271,Family
3301271,Romance
3301331,Drama
3301378,Comedy
3301378,Drama
3301378,Romance
3301385,Musical
3301433,Animation
3301433,Drama
3301433,Family
3301433,Fantasy
3301445,Family
3301446,Family
3301447,Drama
3301447,Family
3301447,Musical
3301470,Comedy
3301470,Family
3301483,Romance
3301521,Comedy
3301521,Drama
3301521,Family
3301553,Comedy
3301553,Drama
3301553,Family
3301560,Family
3301566,Comedy
3301621,Comedy
3301621,Drama
3301621,Romance
3301655,Comedy
3301655,Drama
3301682,Drama
3301703,Sci-Fi
3301744,Action
3301744,Crime
3301744,Drama
3301780,Drama
3301830,Sci-Fi
3301851,Drama
3301851,Horror
3301900,Drama
3301922,Drama
3301923,Western
3301924,Drama
3301981,Comedy
3301981,Drama
3301981,Fantasy
3301981,Romance
3302007,Comedy
3302007,Horror
3302018,Drama
3302189,Comedy
3302199,Comedy
3302199,Drama
3302420,Drama
3302423,Family
3302474,Drama
3302480,Comedy
3302480,Drama
3302512,Drama
3302558,Drama
3302629,Drama
3302629,Thriller
3302688,Horror
3302688,Mystery
3302688,Thriller
3302846,Drama
3302846,Fantasy
3302846,Horror
3302846,Mystery
3302846,Sci-Fi
3302846,Thriller
3302863,Comedy
3302863,Family
3302863,Music
3302933,Drama
3302933,Romance
3302935,Drama
3302975,Comedy
3302975,Horror
3303037,Thriller
3303055,Mystery
3303055,Thriller
3303056,Drama
3303057,Horror
3303065,Drama
3303071,Horror
3303071,Thriller
3303079,Horror
3303083,Thriller
3303122,Thriller
3303256,Drama
3303450,Action
3303450,Crime
3303450,Drama
3303450,Musical
3303450,Thriller
3303455,Biography
3303485,Drama
3303547,Comedy
3303609,Comedy
3303609,Drama
3303688,Sci-Fi
3303760,Drama
3303843,Drama
3303868,Action
3303919,Drama
3303941,Comedy
3303941,Drama
3303967,Drama
3304004,Horror
3304004,Thriller
3304005,Horror
3304025,Crime
3304075,Drama
3304075,Thriller
3304099,Drama
3304107,Action
3304107,Crime
3304107,Drama
3304107,Mystery
3304107,Thriller
3304108,Drama
3304110,Horror
3304142,Drama
3304197,Drama
3304197,Family
3304240,Music
3304305,Drama
3304412,Comedy
3304412,Family
3304442,Comedy
3304442,Drama
3304468,Adventure
3304468,Comedy
3304468,Drama
3304468,Family
3304468,Fantasy
3304480,Adventure
3304480,Family
3304481,Family
3304482,Family
3304489,Romance
3304851,Comedy
3304851,Drama
3305071,Family
3305221,Drama
3305271,Crime
3305271,Mystery
3305271,Thriller
3305359,Thriller
3305362,Thriller
3305397,Drama
3305412,Drama
3305412,Horror
3305429,Drama
3305437,Drama
3305476,Horror
